feature,bin_future,p,N,freq,bin_past,p,N,freq,bin_present,p,N,freq
!,0.042375840832665025,0.054853602718535184,4511,3398,-0.025110175974319856,0.4834600324329463,4511,3398,-0.001651767976803492,0.961258228196175,4511,3398
! !,0.023621739634818766,0.47023968362276497,4511,1840,-0.027493737499562142,0.399899584924279,4511,1840,0.0064279056313921367,0.8482120076890428,4511,1840
! ! !,0.015746373883186102,0.574649561729929,4511,1268,-0.025577177543432451,0.4726108574386674,4511,1268,0.0076069390052590632,0.8143837135062455,4511,1268
! ! ...,0.016417536050082698,0.5601359435283563,4511,7,0.0069074719342376422,0.8598654423407786,4511,7,-0.016944888678065533,0.5608335751565161,4511,7
! ! :),0.018643140890096534,0.5516685517151902,4511,10,-0.007255273025599954,0.8530450827951842,4511,10,-0.0057533997229766093,0.8633579990143638,4511,10
! ! :d,0.022720715456356025,0.49669984230577285,4511,11,-0.0059310932386484414,0.8776127231872609,4511,11,-0.01053603681516517,0.7305495271504179,4511,11
! ! <3,0.0050263338512906777,0.8738778960590613,4511,6,0.0084021098443419779,0.8312195841803182,4511,6,-0.0087790969045534982,0.7771198493324337,4511,6
! ! =),-0.0029601007421625118,0.924392176127685,4511,5,0.012760644426360587,0.7345390111863312,4511,5,-0.0058874254267771804,0.860936648996412,4511,5
! ! ?,0.023596812301216255,0.47023968362276497,4511,7,-0.0015165339980144083,0.9758880154493886,4511,7,-0.015293634854210651,0.6002231708951303,4511,7
! ! and,-0.00256941131969012,0.9348653284718847,4511,7,-0.0054868893961304921,0.8834774065335016,4511,7,0.010177318564127315,0.7378586516513137,4511,7
! ! i,0.025092480216222107,0.4222375915529709,4511,23,0.00097541351697209367,0.9811645041369143,4511,23,-0.016637019796302121,0.569991804127084,4511,23
! ! lol,0.031359599653033657,0.24112604194898257,4511,5,0.0037023230150125121,0.9275267758417398,4511,5,-0.027360142489147702,0.3281835294100768,4511,5
! ! my,0.030374648659745727,0.2667176079879016,4511,9,-0.0081500900319569965,0.8410201014822652,4511,9,-0.014978885083358377,0.6057282139131046,4511,9
! ! you,0.00052377900886089351,0.9852271837595846,4511,6,-0.0049592474681946358,0.8962109325469848,4511,6,0.0070403666570360308,0.8297464163195254,4511,6
"! """,-0.0015231917344107836,0.9623243871948156,4511,16,0.0069710917111266207,0.8586332988824283,4511,16,-0.00029179689552470911,0.9922998060170912,4511,16
! (,0.017409357628549324,0.5516685517151902,4511,10,0.0072777711305326981,0.8530450827951842,4511,10,-0.017253953334420789,0.5563693615220957,4511,10
